Pixel Values (RGB),"Facial Landmarks (e.g., eyes, nose, mouth)","Local Features (e.g., skin texture, wrinkles)","Global Structures (e.g., shape of the face)",Spatial Information (positioning of pixels),Contextual Information (surrounding pixels),Resolution and Scale of the face in the image
"43, 56, 42","Eyes: (1912, 622), (46, 675); Nose: (69, 410); Mouth: (1637, 547)",Few wrinkles,Square face,Eye pixels at bottom half,Darker pixels around the nose,"565x658 pixels, Face occupies 77% of the image"
"121, 3, 113","Eyes: (290, 97), (1107, 725); Nose: (290, 951); Mouth: (1244, 770)",Few wrinkles,Round face,Mouth pixels at center,Lighter pixels around the eye,"1235x742 pixels, Face occupies 38% of the image"
"55, 95, 196","Eyes: (115, 670), (750, 245); Nose: (791, 936); Mouth: (894, 805)",Prominent mole,Long face,Mouth pixels at bottom half,Darker pixels around the nose,"1457x618 pixels, Face occupies 90% of the image"
"209, 204, 12","Eyes: (293, 173), (1852, 821); Nose: (288, 316); Mouth: (1890, 863)",Smooth skin,Long face,Mouth pixels at top half,Darker pixels around the nose,"900x1062 pixels, Face occupies 36% of the image"
"49, 143, 114","Eyes: (1108, 269), (458, 436); Nose: (1695, 1057); Mouth: (407, 933)",Freckles,Oval face,Mouth pixels at center,Lighter pixels around the mouth,"1697x889 pixels, Face occupies 19% of the image"
"123, 109, 126","Eyes: (212, 781), (1281, 365); Nose: (113, 536); Mouth: (1539, 567)",Smooth skin,Round face,Nose pixels at top half,Lighter pixels around the mouth,"1867x853 pixels, Face occupies 64% of the image"
"124, 167, 91","Eyes: (870, 23), (348, 445); Nose: (828, 552); Mouth: (879, 655)",Few wrinkles,Square face,Nose pixels at center,Lighter pixels around the nose,"605x443 pixels, Face occupies 70% of the image"
"207, 55, 233","Eyes: (893, 521), (1414, 561); Nose: (1081, 721); Mouth: (259, 830)",Freckles,Long face,Nose pixels at bottom half,Darker pixels around the mouth,"1134x539 pixels, Face occupies 75% of the image"
"190, 92, 127","Eyes: (1523, 66), (1756, 762); Nose: (239, 200); Mouth: (290, 13)",Few wrinkles,Round face,Mouth pixels at top half,Darker pixels around the mouth,"1536x808 pixels, Face occupies 42% of the image"
"64, 235, 210","Eyes: (1591, 369), (1243, 1073); Nose: (945, 210); Mouth: (1366, 382)",Freckles,Square face,Mouth pixels at bottom half,Darker pixels around the nose,"1143x1063 pixels, Face occupies 47% of the image"
"34, 116, 4","Eyes: (1902, 1005), (917, 240); Nose: (563, 1007); Mouth: (264, 141)",Smooth skin,Long face,Mouth pixels at top half,Lighter pixels around the nose,"670x994 pixels, Face occupies 37% of the image"
"16, 239, 250","Eyes: (802, 491), (436, 937); Nose: (1041, 932); Mouth: (1022, 283)",Prominent mole,Round face,Mouth pixels at bottom half,Lighter pixels around the eye,"1106x791 pixels, Face occupies 11% of the image"
"104, 42, 41","Eyes: (1339, 797), (1471, 842); Nose: (1891, 210); Mouth: (1547, 614)",Prominent mole,Round face,Eye pixels at bottom half,Darker pixels around the nose,"1051x455 pixels, Face occupies 12% of the image"
"174, 138, 72","Eyes: (1445, 459), (1787, 910); Nose: (1539, 347); Mouth: (710, 558)",Smooth skin,Oval face,Eye pixels at top half,Darker pixels around the nose,"1669x332 pixels, Face occupies 30% of the image"
"121, 217, 162","Eyes: (1205, 201), (78, 938); Nose: (374, 969); Mouth: (79, 906)",Prominent mole,Round face,Mouth pixels at bottom half,Lighter pixels around the mouth,"1634x571 pixels, Face occupies 14% of the image"
"80, 121, 73","Eyes: (1908, 519), (1753, 963); Nose: (94, 465); Mouth: (69, 512)",Smooth skin,Oval face,Nose pixels at top half,Darker pixels around the eye,"1595x363 pixels, Face occupies 35% of the image"
"148, 172, 191","Eyes: (1321, 716), (13, 936); Nose: (415, 471); Mouth: (1130, 811)",Prominent mole,Round face,Eye pixels at bottom half,Darker pixels around the eye,"1195x948 pixels, Face occupies 16% of the image"
"180, 81, 159","Eyes: (993, 1080), (1431, 153); Nose: (1158, 494); Mouth: (107, 816)",Prominent mole,Square face,Mouth pixels at center,Lighter pixels around the nose,"1416x693 pixels, Face occupies 58% of the image"
"69, 40, 208","Eyes: (770, 751), (218, 834); Nose: (102, 170); Mouth: (1610, 89)",Few wrinkles,Square face,Mouth pixels at center,Lighter pixels around the eye,"1246x548 pixels, Face occupies 19% of the image"
"72, 198, 201","Eyes: (1550, 638), (849, 888); Nose: (1664, 934); Mouth: (1370, 644)",Few wrinkles,Round face,Nose pixels at top half,Darker pixels around the nose,"1198x939 pixels, Face occupies 85% of the image"
"140, 102, 184","Eyes: (583, 959), (1020, 134); Nose: (3, 78); Mouth: (945, 477)",Prominent mole,Round face,Mouth pixels at center,Darker pixels around the mouth,"907x878 pixels, Face occupies 63% of the image"
